data/cr2020-05-01-114719_raspi41GB.txt
raspi41GB
Core data - After 494.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 496.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  84.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 497.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 498.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 499.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  85.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [ 99%,100%,100%,100%]
Core data - After 504.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  84.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 505.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 506.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 507.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 508.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 510.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 511.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 512.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 513.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 514.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 515.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 516.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 517.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 518.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 519.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  84.7°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 521.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 522.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 524.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  84.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 525.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 526.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 527.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 528.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 529.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
