cr2020-04-08-105232_Samsung_Ladegerat_altes_Kabel.txt
Samsung Ladegerät, altes Kabel running for 10.0 minutes
Core data - After 560.0 seconds  | Throttled: 10000000000000001000 | Temperature: 71.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 564.7 seconds  | Throttled: 10000000000000001000 | Temperature: 72.0'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 572.9 seconds  | Throttled: 10000000000000001000 | Temperature: 71.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 574.1 seconds  | Throttled: 10000000000000001000 | Temperature: 72.0'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 578.7 seconds  | Throttled: 10000000000000001000 | Temperature: 71.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 579.9 seconds  | Throttled: 10000000000000001000 | Temperature: 72.0'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 583.4 seconds  | Throttled: 10000000000000001000 | Temperature: 72.5'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 584.6 seconds  | Throttled: 10000000000000001000 | Temperature: 72.0'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 585.8 seconds  | Throttled: 10000000000000001000 | Temperature: 72.5'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 587.0 seconds  | Throttled: 10000000000000001000 | Temperature: 72.0'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 589.3 seconds  | Throttled: 10000000000000001000 | Temperature: 72.5'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 590.5 seconds  | Throttled: 10000000000000001000 | Temperature: 73.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 592.8 seconds  | Throttled: 10000000000000001000 | Temperature: 72.0'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 594.0 seconds  | Throttled: 10000000000000001000 | Temperature: 72.5'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 596.3 seconds  | Throttled: 10000000000000001000 | Temperature: 72.0'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 598.6 seconds  | Throttled: 10000000000000001000 | Temperature: 73.1'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 599.8 seconds  | Throttled: 10000000000000001000 | Temperature: 72.0'C | Voltage: 1.2500V | Frequency: 1.20GHz
